fila_excel;bloque;codigo_excel;codigo_esperado;descripcion_excel;fuera_pmo;estado;codigo_en_nuestra_base;nombre_en_nuestra_base;parecido;raices_comunes
8;NN;3;660003;Acidimetría diagnez azul.;X;NO ESTA;660004;ACIDIMETRIA GASTRICA , CURVA DE;0.2;1
29;NN;24;660024;Aminoácidos cualitativo (O) incluye azur, brand catavión. DNPH millon.;X;NO ESTA;668024;PARA AMINOFENOL;0.17;1
44;NN;39;660039;Anticoagulantes (Bergna Pavlovsky).;X;NO ESTA;662709;ANTICOAGULANTE LÚPICO;0.25;1
103;NN;113;660113;Bromoftaleína, prueba de la;X;NO ESTA;;;0.0;0
104;NN;114;660114;Bromoftaleína, depuración (K1 y K2).;X;NO ESTA;660193;CREATININA, CLEARENCE DE DEPURACION.;0.25;1
139;NN;156;660156;17 -Cetoesteroides fraccionados- 11 OXI - 11 DESOXI -;X;NO ESTA;660025;AMINOÁCIDOS FRACCIONADOS (Cromatografía - por fracción) -cualitativo;0.2;1
180;NN;197;660197;Curvas coloidales, cada una;X;NO ESTA;660004;ACIDIMETRIA GASTRICA , CURVA DE;0.25;1
250;NN;291;660291;Electroforesis poliacrilamida, cualitativa.;X;NO ESTA;660471;HEMOGLOBINA, ELECTROFORESIS.;0.25;1
253;NN;294;660294;Eosinófilos, con intección de ACTH.;X;NO ESTA;660006;ACTH - HORMONA ADRENOCORTICOTROFINA.;0.2;1
265;NN;306;660306;Etanól test total del.;X;NO ESTA;660307;ETANOL, ALCOHOL ETÍLICO - urinario. (ALCOLURIA);0.2;1
294;NN;347;660347;Fibrinolisisna. (Bugges MC Farlane o similar).;X;NO ESTA;660345;FIBRINOGENO - sangre.;0.2;1
353;NN;425;660425;Gonadotrofinas coriónicas. Metodo biológico cuantitativo (Brideau-Hinglais), 2 conejas por unidad, cada unidad.;X;NO ESTA;661170;SUBUNIDAD BETA de GONADOTROFINA CORIONICA (cualitativa) - HCG o β-HCG - Sub β;0.2;2
354;NN;426;660426;Gonadotrofinas hipofisiarias, uno o dos niveles.;X;NO ESTA;669187;SUBUNIDAD Alfa HIPOFISIARIA;0.2;1
355;NN;427;660427;Gonadotrofinas hipofisiarias, cada nivel adicional.;X;NO ESTA;660273;DOMICILIO A MAS DE DOS (2) Kms. - ADICIONAL por c/Km.;0.2;1
357;NN;429;660429;Gota gruesa.;;NO ESTA;;;0.0;0
385;NN;461;660461;Hamburger.;X;NO ESTA;;;0.0;0
386;NN;462;660462;Hanger. Reacción de. Incluido en 481;X;NO ESTA;;;0.0;0
393;NN;469;660469;Hemofilio. Clasificación.;X;NO ESTA;;;0.0;0
440;NN;533;660533;Imaz-Lorentz-Ghedini. Reacción de;X;NO ESTA;;;0.0;0
451;NN;544;660544;Iodo butanol extraíble.;X;NO ESTA;666888;IODO-AZIDA Prueba de;0.25;1
469;NN;572;660572;Kahn presuntiva y standart.;X;NO ESTA;;;0.0;0
470;NN;573;660573;Kline. Diagnóstico o exclución.;X;NO ESTA;664941;ESPERMA, SWIM UP (DIAGNÓSTICO);0.2;1
471;NN;574;660574;Kunkel, reacción de. Incluido en 481;X;NO ESTA;;;0.0;0
507;NN;614;660614;Lipemia o lípidos totales en sangre.;X;NO ESTA;660192;CREATININA - en sangre;0.2;1
509;NN;616;660616;Lípidos. Cromatografía en capa delgada.;;NO ESTA;660150;CEREBROSIDOS (Cromatográfico).;0.2;1
534;NN;651;660651;Mac Lagan, reacción de.;X;NO ESTA;;;0.0;0
549;NN;666;660666;Micoplasma (PPLO), investigación de.;X;NO ESTA;;;0.0;0
614;NN;750;660750;Pollak, prueba de.;X;NO ESTA;;;0.0;0
653;NN;811;660811;Retter Test de;X;NO ESTA;;;0.0;0
669;NN;834;660834;secretina. Test de la;;NO ESTA;;;0.0;0
671;NN;836;660836;Sia. Test de;X;NO ESTA;;;0.0;0
677;NN;842;660842;Sondeo duodenal minutado. Incluye 112;X;NO ESTA;;;0.0;0
678;NN;843;660843;Sondeo duodenal terapéutico.;X;NO ESTA;;;0.0;0
679;NN;844;660844;Sondeo gástrico lavado.;X;NO ESTA;660405;GASTRINA, sérica.;0.25;1
696;NN;861;660861;Takata-Ara. Reacción de;X;NO ESTA;;;0.0;0
719;NN;884;660884;Tromboplastina. Prueba de la generación de la (Bigg y Douglas Sustituyendo c/creactivo, suero, plasma, plaquetas de sustrato);X;NO ESTA;660879;TROMBINA, PRUEBA DE GENERACIÓN DE LA;0.2;2
